Genus	AS1	AS2	AS3	G1	G2	G3	G4	G5	N1	N10	N11	N12	N13	N2	N3	N4	N5	N6	N7	N8	N9	OC1	OC10	OC11	OC12	OC2	OC3	OC4	OC5	OC6	OC7	OC8	OC9	OP1	OP10	OP11	OP12	OP13	OP2	OP3	OP4	OP5	OP6	OP7	OP8	OP9	SD1	SD2	SD3	SD4	SD5	SD6	SD7	SD8	SD9	All
Achromobacter	0	0.00333	0.00333	0	0	0	0	0	0	0	0.00333	0	0.00333	0	0	0	0.00333	0.0167	0.0867	0	0.0233	0	0	0	0	0.06	0	0	0	0	0	0	0	0.00333	0	0	0	0	0.00333	0	0	0	0	0	0	0	0	0	0	0.00667	0	0.00667	0	0	0	0.1
Thermomonas	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.02	0	0	0	0	0	0	0	0	0	0	0	0.00333	0	0	0	0	0	0	0	0	0.00333	0	0	0	0	0	0	0	0	0.00333	0	0	0	0	0.1
Alkanibacter	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0267	0	0	0.1
Trichococcus	0.00333	2.1	0.677	0.00667	1.28	0.0767	1.52	0.333	0.00667	1.21	0.643	0.08	0.0367	0.01	0.00333	0	0.01	0.0133	1.51	0.303	0.93	0.0467	12.6	0.0433	0.01	17.7	0.33	0.0133	2.33	5.46	1.55	0.663	0.783	0.0733	0.49	39.1	0.0533	0.04	10.4	0.05	0.0233	0.00667	1.2	3.36	1.13	0.683	0.00333	0.0167	0.04	0.00333	0.00667	0.563	0.363	0.103	0.03	0.1
Pseudoclavibacter	0	0	0	0	0	0	0	0	0	0.00667	0	0	0	0	0	0	0.00333	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00333	0	0	0	0	0	0	0	0.0133	0	0	0.00333	0	0	0.1
Pseudoramibacter	0	0	0	0	0.01	0.0267	0	0	0	0	0	0	0	0	0	0	0	0	0	0.01	0	0	0.03	0	0	0	0	0	0.01	0.00667	0	0	0.00333	0	0	0	0	0	0	0	0	0	0.00333	0.00667	0	0	0	0	0	0	0	0.00333	0	0	0	0.1
Pyramidobacter	0	0.00333	0	0	0.0133	0	0	0	0	0	0	0	0	0	0	0	0.00667	0	0.0267	0.00333	0	0.0167	0	0	0	0.00333	0	0	0	0.00667	0	0	0	0.0233	0	0	0	0	0.00667	0	0	0.00333	0.02	0	0	0	0	0	0	0	0	0.00333	0	0	0	0.1
Salegentibacter	0	0	0.01	0	0	0.00333	0	0	0	0.00333	0.00667	0	0	0	0	0	0	0	0.02	0	0.01	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00333	0.00333	0	0	0.1
Scardovia	0	0	0	0	0.01	0	0	0.00333	0	0	0	0	0	0	0	0	0	0	0.00667	0.00333	0	0	0	0	0	0	0	0	0.0267	0.0233	0	0	0	0	0	0	0	0	0	0	0	0	0.00333	0.0167	0	0	0	0	0	0	0	0	0	0	0.01	0.1
Alkaliphilus	0.0267	0	0	0	0	0	0	0	0.0533	0	0	0	0	0.0433	0.01	0	0.0367	0.0467	0	0	0	0.0267	0	0	0	0	0	0	0	0	0	0	0	0.0267	0	0	0	0	0	0	0	0.00333	0	0	0	0	0.0333	0.02	0.05	0.0367	0.0133	0	0.07	0	0	0.1
Tepidimonas	0	0	0	0.00333	0	0	0	0.00333	0.01	0	0	0	0	0	0	0	0.00333	0.00333	0	0	0	0.00333	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00333	0	0	0	0	0	0	0	0.00333	0	0	0.01	0	0	0.1
Piscinibacter	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0233	0	0	0.1
Dyadobacter	0	0	0	0	0	0	0	0	0	0	0	0	0.00667	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.15	0	0	0.1
Diaphorobacter	0.01	0.00667	0	0	0	0	0	0	0.00333	0	0.00333	0	0	0.00667	0	0	0.00333	0.00333	0.00667	0.01	0	0.00667	0.00333	0	0	0	0	0	0	0	0	0	0	0	0	0.00333	0	0	0	0	0	0.00333	0.00333	0	0	0	0.00333	0.00333	0.00667	0.00667	0.00333	0	0.0333	0	0	0.1
Eikenella	0.00333	0	0.09	0.01	0.00667	0.103	0.12	0.183	0	0.02	0.03	0	0.02	0	0.00333	0.0167	0.00667	0.00333	0	0.00667	0.0167	0.0267	2.94	0.31	0.27	0.797	0.227	0.16	0.00333	0.0267	0.00333	0	0.0167	0.02	0.0433	0.497	0.223	0.2	6.79	0.42	0.537	0.127	0.01	0	0	0.0167	0	0.00333	0	0	0	0	0.57	0.167	0.1	0.1
Eggerthia	0	0.01	0.0133	0	0.0133	0	0	0	0	0	0	0	0	0	0	0	0	0	0.05	0.00667	0	0	0	0	0	0	0	0	0.01	0.00667	0	0	0.00333	0	0.0133	0	0	0	0	0	0	0.0233	0.0167	0	0	0.00667	0	0	0	0	0	0.0133	0	0	0	0.1
Desulfobulbus	0	0	0.00667	0	0	0.0167	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0133	0	0	0	0	0	0.00667	0	0	0	0	0	0	0	0	0	0	0	0	0	0.01	0	0	0.00333	0	0	0	0	0	0	0.00333	0	0	0.1
Delftia	0.00667	0.01	0.02	0.06	0	0.00667	0.00333	0	0.0567	0.0233	0.0567	0.00333	0	0.0133	0.00333	0.0167	0.0133	0.0133	0.373	0.46	0.817	0.04	0	0	0	2.78	0	0	0.0167	0.00667	0	0	0.00667	0.0433	0.00667	0	0	0	1.2	0	0.00667	0	0.0267	0	0.00333	0	0.01	0.0167	0.01	0.02	0	0.00667	0.0133	0	0	0.1
Devosia	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00333	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00333	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00333	0	0	0	0	0	0.1
Desulfomicrobium	0	0	0.673	0	0	0.117	0	0	0	0.04	0.107	0.00667	0	0	0	0	0	0	0	0	0	0	0.0267	0	0	0	0	0	0	0	0	0	0	0	0.0267	0.00333	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0367	0	0	0.1
Elizabethkingia	0	0	0	0	0	0.0867	0	0	0	0.267	0.0167	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.1
Escherichia-Shigella	0	0	0	0	0	0	0.00667	0.0267	0	0.853	0.0533	1.48	23.5	0	0	0	0	0	0	0.01	0.0133	0	0	0	0	0	0	0	0	0	0.00667	0	0	0	0	0	0.00333	0.00333	0	0	0	0	0	0	0.00667	0.00333	0	0	0	0.00333	0	0.00667	0.01	0.0233	0.0133	0.1
Erythrobacter	0	0.00667	0.00667	0	0	0	0	0	0	0.0167	0.02	0	0.00667	0	0	0	0	0.00333	0.0233	0.00333	0.0533	0	0	0	0	0.01	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00333	0	0	0	0	0	0	0	0	0.00667	0.0233	0	0	0.1
Family_XIII_AD3011_group	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00333	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.01	0	0	0.1
Exiguobacterium	0	0.02	0	0.0367	0	0	0	0	0.00333	0	0	0	0	0	0	0	0.00333	0.01	0	0	0.01	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0267	0	0	0.00333	0	0.01	0.00333	0	0	0	0	0.1
Eremococcus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00333	0.0267	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.1
Empedobacter	0.01	0	0	0	0	0	0	0	0.01	0	0	0	0.08	0.01	0.00667	0	0.00667	0.00333	0	0	0	0.0133	0	0	0	0	0	0	0	0	0	0	0	0.01	0	0	0	0	0	0	0	0.00333	0	0	0	0	0.00667	0.00667	0.0167	0.00333	0.00667	0	1.82	0	0	0.1
Erysipelotrichaceae_UCG-004	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00333	0.00333	0	0	0	0	0	0	0	0	0	0	0	0	0.00333	0.00333	0	0	0	0	0	0	0	0	0	0	0	0.1
Erysipelotrichaceae_UCG-003	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00667	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.1
Blautia	0	0	0	0	0	0	0	0	0.00333	0	0	0	0	0	0	0	0	0.00667	0	0.01	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.1
Caenimonas	0.01	0	0	0	0	0	0	0	0	0.00333	0.00333	0	0	0.00667	0	0	0.00333	0.00667	0	0	0	0.00333	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00333	0	0.01	0	0	0.00333	0	0	0.1
Blastocatella	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.01	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.01	0	0	0.1
Candidatus_Methanomethylophilus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0167	0	0	0	0	0	0	0	0	0.00333	0	0	0	0	0	0	0	0	0	0.00333	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.1
Brevibacterium	0	0	0	0	0	0	0	0	0	0	0.00667	0	0	0	0	0.00333	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00333	0	0	0	0	0	0	0	0	0	0	0	0.1
Brevibacillus	0.02	0	0	0	0	0	0	0	0	0	0	0	0	0.01	0.0167	0	0.01	0.02	0	0	0	0.0133	0	0	0	0	0	0	0	0	0	0	0	0.01	0	0	0	0	0	0	0	0.00333	0	0	0	0	0.00333	0.02	0.01	0.02	0.0167	0	0.01	0	0	0.1
Bulleidia	0	0.01	0.0767	0	0.00333	0.13	0.00333	0.05	0	0.0133	0.0867	0	0	0	0	0	0	0	0.02	0.00667	0	0	0	0	0.01	0	0	0	0.01	0.00667	0	0.00667	0.0133	0	0.0633	0.00333	0	0.01	0	0	0	0	0.0467	0	0	0.323	0	0	0	0	0	0.24	0.00333	0	0.0767	0.1
Bryobacter	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00667	0	0	0	0	0.0133	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.1
Carnobacterium	0.603	0	0	0	0	0	0	0	0.63	0	0	0	0.02	0.657	0.41	0	0.633	0.59	0	0.00333	0	0.523	0	0	0	0	0	0	0	0	0	0	0	0.577	0	0	0	0	0	0	0	0.203	0	0	0	0	0.55	0.623	0.6	0.68	0.597	0	0.217	0	0	0.1
Corynebacterium	0.00333	0	0	0.00333	0	0	0	0	0.00333	0	0.00333	0.01	0	0	0	0	0	0.00333	0.00333	0	0.00667	0.00667	0	0	0	0.01	0	0	0	0	0	0	0	0	0	0	0	0	0.00333	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.1
Coprococcus_1	0	0	0.00667	0	0	0.00333	0	0	0	0.0567	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0133	0	0.03	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00333	0	0	0.1
Dechloromonas	0	0	0	0	0	0	0	0	0.00333	0	0	0	0.04	0	0	0	0	0	0	0.00667	0	0.00667	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.37	0	0	0.1
Cupriavidus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00333	0	0	0	0.03	0	0	0	0	0	0	0	0	0	0	0	0	0.00667	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0167	0	0	0.1
Chitinophaga	0	0.00333	0	0.107	0	0	0	0	0.02	0.0267	0.00333	0	0.00333	0.0167	0.00667	0.0667	0.00667	0.0167	0.273	0.447	1.29	0.0367	0.00333	0	0	1.92	0	0	0.01	0.0133	0	0	0	0.05	0	0	0	0	1.36	0	0	0	0.05	0	0	0.00333	0	0	0.00333	0.00333	0	0.00667	0	0	0	0.1
Bilophila	0	0	0	0	0.01	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00667	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00667	0	0	0	0	0	0	0	0	0.00667	0	0	0	0.1
Clostridiales_bacterium_canine_oral_taxon_260	0	0	0	0	0.04	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0333	0.00667	0.0267	0	0	0	0	0	0	0	0.00333	0.00333	0	0	0	0	0	0	0	0	0	0	0	0	0.117	0.00667	0	0	0	0	0	0	0	0	0	0	0	0.1
Cloacibacterium	0	0	0	0.00333	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.05	0	0	0.1
Finegoldia	0	0	0.0367	0	0	0	0	0	0	0.257	2.59	0.113	0.01	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.1
Nitratireductor	0	0	0.00667	0	0	0	0	0	0	0.00333	0.00667	0	0	0	0	0	0	0	0.0133	0	0	0	0	0	0	0.00667	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0133	0	0	0.1
Negativicoccus	0	0	0	0	0	0	0	0	0	0.00333	1.67	0.0467	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.1
Nordella	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00333	0	0	0	0	0	0.00333	0.0267	0	0	0	0	0.0567	0	0	0	0	0	0	0	0.00333	0	0	0	0	0.0233	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.1
Nitrobacter	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00333	0	0	0	0	0.01	0.01	0.0233	0	0	0	0	0.0367	0	0	0	0	0	0	0	0	0	0	0	0	0.0267	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.1
Murdochiella	0	0	0	0.00667	0.01	0	0	0	0.00333	0	0	0	0	0	0	0	0.02	0	0.01	0.01	0.02	0.00333	0	0	0	0.00667	0.0233	0.02	0.00333	0.0467	0	0.00333	0	0.00333	0	0	0	0	0.0167	0.02	0.113	0.333	0.0133	0.00333	0	0.15	0	0.00333	0	0	0	0.02	0	0	0	0.1
Moraxella	0.17	0	0	0.0433	0	0	0.0233	0	0.11	0	0.0133	0	0.07	0.19	0.0433	0	0.147	0.17	0	0.00333	0.04	0.12	0	0	0	0	0	0	0	0	0	0	0	0.11	0	0	0	0	0.00333	0	0	0.0167	0	0	0	0	0.18	0.123	0.0933	0.157	0.2	0	3.62	0	0	0.1
Myxococcus	0	0	0	0	0	0	0	0	0	0	0	0	0.00333	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0867	0	0	0.1
Mycobacterium	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00333	0	0	0	0	0.00333	0	0	0	0	0.00667	0	0	0	0	0	0	0	0	0	0	0	0	0.01	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.1
Odoribacter	0	0	0.02	0	0	0.0867	0	0	0	0.00333	0.01	0	0	0	0	0	0	0	0	0	0	0	0.0133	0	0	0	0	0	0	0	0	0	0	0	0.0167	0.00333	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00667	0.00667	0	0.1
Peptostreptococcus	0	0.58	0.207	0.00333	0.613	0.03	0.163	0.243	0.00333	0.633	0.127	0.00667	0.04	0.00333	0	0	0.05	0.00667	0.507	0.1	0.07	0.0367	0	0.00333	0.0667	0.153	0.833	0.427	0.2	0.673	0.0167	0.19	0.08	0.0467	0.35	0.00667	0	0.0867	0.34	0.463	3.8	0.443	0.353	0.477	0.05	0.757	0.00333	0.01	0.00333	0	0	0.64	0.01	0.0667	0.637	0.1
Peptococcus	0	0.0233	0.0533	0.00333	0.00667	0.0433	0	0	0	0.0933	0.07	0	0	0	0	0	0	0	0.14	0.02	0.00333	0	0.00333	0	0	0	0	0	0.0433	0.00667	0	0.00333	0.06	0	0.0933	0	0	0	0.01	0	0	0.00333	0.24	0.01	0	0.18	0	0	0	0	0	0.09	0.00667	0	0	0.1
Photobacterium	0	0	0	0.02	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00667	0.00333	0.0167	0	0	0	0	0	0	0	0	0	0	0	0.00333	0.01	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.1
Phocaeicola	0	0	0.0133	0.00333	0.0433	0.00333	0	0	0	0	0.01	0	0	0	0	0	0	0	0.113	0.0333	0	0.157	0	0	0	0.113	0.00333	0	0.0733	0.04	0	0	0	0.107	0.00333	0	0	0	0.413	0.00333	0	0.00667	0.12	0.0667	0	0.01	0	0	0	0	0	0.00333	0	0	0	0.1
Pedobacter	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00333	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00333	0.00333	0.00333	0	0.00333	0	0.03	0	0	0.1
Anoxybacillus	0	0	0	0	0	0	0.03	0	0	0	0	0	0.00333	0.00333	0	0	0	0.00333	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00333	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00667	0.01	0	0.00333	0	0.2	0	0	0.1
Pelospora	0	0	0	0	0	0.04	0	0	0	0	0.00333	0	0	0	0	0	0	0	0.00667	0	0	0	0	0	0	0	0	0	0.0133	0	0	0	0	0	0	0	0	0	0	0	0	0	0.02	0.00333	0	0	0	0	0	0	0	0	0	0	0	0.1
Pedomicrobium	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00667	0.00667	0	0	0	0	0	0	0.1
Helicobacter	0	0	0	0.02	0	16.3	0.0133	0.0967	0	0.00333	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.1
Hafnia	0.00667	0	0	0.00333	0	0	0	0	0.00333	0	0	0	0.00333	0	0.00333	0	0.00333	0.01	0	0	0	0.00333	0	0	0	0	0	0	0	0	0	0	0	0.00333	0	0	0	0	0	0	0	0	0	0	0	0.00333	0.02	0.00667	0.0167	0.0133	0	0	0.0133	0	0	0.1
Hydrotalea	0.00333	0.01	0	0.0167	0	0.00333	0	0	0.0133	0	0.0233	0.00667	0	0.00333	0.00333	0.01	0.00667	0	0.02	0.06	0.22	0.00667	0	0	0	0.413	0	0	0.0167	0.00333	0	0	0	0.0133	0	0	0	0	0.257	0	0	0	0.00333	0	0	0	0	0	0	0.00333	0	0	0.0167	0	0	0.1
Howardella	0	0	0	0	0	0	0	0	0	0	0.0267	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0167	0	0	0	0	0	0	0	0	0	0	0	0	0.1
Frigoribacterium	0.00333	0	0	0	0	0	0	0	0	0	0	0	0.00333	0	0	0	0	0	0	0	0.00333	0.00333	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00333	0	0	0	0	0.0233	0	0	0.1
Firmicutes_oral_clone_MCE7_107	0	0.01	0.00667	0	0.03	0	0	0	0	0.0567	0	0	0	0	0	0	0	0	0.0833	0.0133	0.0233	0	0.00667	0.00667	0	0	0	0	0.03	0.0567	0	0	0.00667	0	0.03	0.00667	0	0	0	0	0	0	0.107	0.0633	0.00333	0.01	0	0	0	0	0	0	0.02	0	0	0.1
Granulicatella	0	2.74	0.00333	0	15.8	0	0.767	0.133	0	0	0.00333	0	0.0133	0	0	0	0	0.00333	8.07	1.4	1.11	0	0.197	0.373	0.06	0	0.01	0	0.0267	1.98	2.04	0.743	0.00333	0	0.00333	0.0467	0.49	0.67	0.02	0	0	0.00333	1.99	2.83	1.72	0.24	0	0	0	0	0	0.34	0.01	0.813	0.08	0.1
Geobacillus	0.00333	0	0	0	0	0	0.00333	0	0.00333	0	0	0	0.00667	0	0	0	0.00333	0	0	0	0	0.00333	0	0	0	0	0	0	0	0	0	0	0	0.00333	0	0	0	0	0	0	0	0	0	0	0	0	0.00333	0	0	0.00333	0.00667	0	0.05	0	0	0.1
Hyphomicrobium	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0233	0	0.00667	0	0	0	0	0	0	0.00333	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00667	0	0	0.1
Massilia	0.0267	0	0	0.00667	0	0	0	0	0.0367	0	0	0	0.00333	0.0333	0.0167	0	0.0333	0.0533	0	0.01	0	0.05	0	0	0	0	0	0	0	0	0	0	0	0.02	0	0	0	0	0	0	0	0.00333	0	0	0	0	0.0333	0.01	0.0233	0.0267	0.04	0	0.29	0	0	0.1
Lautropia	0	0.0267	0	0	0.01	0.0133	0	0	0	0.0667	0	0	0	0	0	0	0	0	0.00333	0.01	0.01	0.0133	0.237	0	0.00333	0.03	0	0	0	0	0	0	0.0233	0.0233	0.02	0	0	0	0.05	0	0	0	0.0233	0.00667	0	0	0	0	0	0	0	0	0.197	0.00333	0	0.1
Micrococcus	0	0	0.00333	0	0	0	0	0	0	0	0	0	0	0.00333	0	0	0	0	0	0.00667	0.0167	0.00333	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00333	0	0	0	0	0.00333	0	0	0.1
Methanobrevibacter	0.00333	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00333	0	0	0	0.00333	0	0	0	0.00333	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00667	0	0	0.1
Klebsiella	0.00667	0.0233	0	52.6	9.92	0.00667	2.73	0.257	0.03	0.243	0.247	0.0433	2.84	0.01	14.6	30.5	0.997	0.02	0.383	1.33	0.143	0.01	23	10.4	0.09	0.513	5	3.07	0.00333	0.997	0.873	0.25	0.00333	0.00667	0.00333	0.0367	0.62	0.0267	0.47	0.4	0.563	0.42	0.0333	0.767	0.303	0.243	0.763	0.00667	0.41	0.01	0.327	39.6	0.187	0.517	3.86	0.1
Iodobacter	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.01	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00333	0	0	0	0	0	0	0	0	0.1
Asaia	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.4	0	0	0	0	0	0	0	0	0	0	0	0	0.02	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.1
Kocuria	0	0	0	0	0	0	0	0	0	0	0.01	0	0.00333	0	0	0	0	0	0	0	0.01	0	0	0	0	0.00333	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00333	0	0.00333	0	0	0.1
