Genus	AS1	AS2	AS3	G1	G2	G3	G4	G5	N1	N10	N11	N12	N13	N2	N3	N4	N5	N6	N7	N8	N9	OC1	OC10	OC11	OC12	OC2	OC3	OC4	OC5	OC6	OC7	OC8	OC9	OP1	OP10	OP11	OP12	OP13	OP2	OP3	OP4	OP5	OP6	OP7	OP8	OP9	SD1	SD2	SD3	SD4	SD5	SD6	SD7	SD8	SD9	All
Haemophilus	0.0333	16.6	15.6	0.00667	32.8	9.71	12.2	5.11	0.0367	10	4.67	0.513	0.187	0.0133	0.0267	0.02	0	0.0733	11.6	3.44	20.8	0.627	32.4	9.53	1.87	1.53	6.66	3.01	40.1	48.3	25	15.1	37.4	0.917	32	40.3	15.8	5.87	1.39	12.3	5.11	0.47	11.1	39.1	31.8	16.5	0	0.0367	0.00333	0.00667	0	5.48	4.16	10.8	2.56	0.8
Catonella	0	0.0267	1.03	0.00333	0.00667	0.0833	0.0133	0.0667	0	0.13	0.177	0.0167	0.0133	0	0	0	0.00333	0	0.0333	0.00667	0.01	0.00667	0.00667	0.00333	0.00667	0.01	0.0133	0.0267	0.0167	0.01	0	0.0333	0.0367	0.00667	0.137	0.0133	0.00667	0.0333	0.02	0.00667	0.0367	0.0267	0.147	0.00333	0	0.11	0	0	0	0	0	0.0533	0.01	0.0333	0.0767	0.7
Leuconostoc	0.267	0	0	0.0167	0	0	0.0167	0	0.307	0	0	0	0.02	0.35	0.17	0.00333	0.353	0.35	0	0	0	0.203	0	0	0	0	0	0	0	0	0.00333	0	0	0.227	0	0	0	0	0.00333	0	0	0.103	0	0	0	0	0.273	0.257	0.337	0.427	0.38	0	0.543	0	0	0.7
Lactococcus	30.8	0.00333	0.00333	0.06	0	0	0	0	31.3	0	0	0	1.14	32	19	0	28.4	30.3	0.0167	0.00333	0.0233	29.3	0.00333	0	0.00333	0.0133	0	0	0	0.00333	0.00333	0	0	29.4	0	0	0	0	0	0	0.00333	13.9	0.00667	0	0.0233	0	31.5	29.9	28.5	30.6	30.4	0	21.3	0.00667	0	0.7
Veillonella	0	11.6	1.78	0	0.543	0.0967	2	8.68	0	2.78	1.84	0.147	0.393	0	0	0	0	0.01	10.3	2.63	0.87	0.04	0.387	0.18	0.713	0.713	0.21	0.00667	1.15	0.2	0.02	0.08	2.46	0.0267	1.54	0.123	0.637	8.85	0.957	0.12	0.0467	0.00333	9.66	0.337	0.19	5.32	0	0	0	0	0	0.09	0.0133	0.747	1.28	0.7
Bacteroides	0	0	0.143	0	0.0133	0.03	0.01	0	0.00667	0.33	0.02	0	0.00333	0.00333	0	0	0	0.0433	0.0267	0.0267	0.00333	0.00667	0.00333	0	0	0	0	0	0.00333	0	0	0	0.0767	0.00333	0.167	0	0	0	0.00667	0	0	0	0.02	0.01	0	0.00333	0.00333	0.00333	0.00333	0	0	0.00667	0.04	0	0	0.7
Staphylococcus	0.0167	0.0233	0.0867	0	0.0567	0.0133	0.00333	0.01	0.523	0.567	12.8	68.4	4.15	0.0867	18.6	6.16	0.0667	0.00667	2.38	68.6	27.4	0.0867	0.06	0.00667	0.00333	5.44	0.00333	0	0.0333	0.05	0.03	0.00667	0.0933	0.32	0.0367	0.263	0	0.0233	2.3	0.0867	0.117	0.04	0.0267	0.0233	0.0267	0.0367	0.00667	0.0133	0.0567	0.00333	0	0.0233	0.0467	0.01	0	0.6
Methylobacterium	0.00333	0.0733	0.0967	0.0233	0.03	0.0633	0.00667	0.00667	0.00333	0.103	0.12	0.0233	0.00667	0.01	0	0.01	0	0.0167	0.983	0.213	0.31	0.00667	0.00333	0	0	0.263	0	0	0.03	0.00667	0	0	0.0167	0.01	0.00667	0	0	0	0.04	0.00333	0	0	0.0933	0.00333	0	0.00333	0.01	0.01	0.00667	0.0167	0	0.13	0.0533	0.00667	0	0.6
Neisseria	0.0633	11.4	11.3	0.437	3.94	53.1	25.4	19	0.133	5.14	8.25	1.26	5.95	0	0.0233	0.02	0.267	0.0333	8.23	3.67	5.43	0.0933	0.213	43.4	59.9	0.64	10.3	31.8	18.3	9.84	24.7	39.9	11.3	0.0633	8.69	0.693	21.8	25.5	0.487	1.9	3.25	31.4	11	16.1	15.2	7.46	0	0.0267	0.933	0.00667	0	20.3	0.14	19	39.1	0.6
Enterococcus	1.44	0.0133	0	0.03	0.0733	0	0.0333	0.00333	1.57	0	0	0.00333	0.14	1.59	0.98	0	1.44	1.42	0.02	0.00667	0.00333	1.4	0.12	0.00333	0	0.57	0	0	0	0.0333	0.03	0	0.00333	1.54	0	0.12	0.00333	0.00333	0.297	0	0	0.537	0.0133	0.0167	0.0233	0.0233	1.48	1.55	1.35	1.5	1.35	0.00667	3.54	0.00333	0	0.6
Aggregatibacter	0.24	0.93	3.5	0.393	0.587	0.26	19.8	13.3	0.0667	1.52	0.647	0.07	1.32	0.0167	0.01	0.00667	1.55	0.00667	0.607	0.213	0.303	0.773	0.373	19.9	9.29	1.84	7.28	8.81	0.283	0.61	0.593	1.15	0.15	0.68	0.53	0.0567	28.7	22	2.22	2.13	7.16	10.9	0.963	0.29	0.287	0.533	0	0.0433	0.39	0	0	0.293	0.127	30.2	20	0.6
Bergeyella	0	0.2	0.347	0	0.383	0.00667	0.103	0.0333	0	0.0933	0.113	0.00333	0.0167	0	0	0	0	0	0.257	0.0333	0.0933	0.00333	0.38	0.173	0.07	0.0733	0.03	0.03	0.14	0.12	0.0967	0.0733	0.163	0.00333	0.0833	0.433	0.587	0.143	0.223	0.11	0.0233	0	0.163	0.113	0.133	0.1	0	0	0.00333	0	0	0.02	0.0367	0.22	0.07	0.6
Rikenellaceae_RC9_gut_group	0	0.00333	0.0167	0	0.0267	0.0333	0.02	0.00333	0.00333	0.0533	0.0167	0.0133	0	0	0	0	0	0	0.103	0.05	0.05	0.0333	0.01	0	0.00333	0.0633	0.00667	0.0133	0.11	0.0433	0	0.00333	0.0167	0.0167	0.0733	0.00667	0	0.00333	0.18	0	0.0133	0.0167	0.237	0.0933	0	0.01	0.00667	0.00333	0	0	0	0	0.05	0.00667	0.00667	0.6
Peptoclostridium	0	0.103	0.0467	0	0	0.0333	0.00333	0.11	0	0.06	0.07	0	0	0	0.00333	0	0	0.00333	0.08	0.0133	0.0133	0.00333	0.05	0.00333	0.0767	0	0	0	0.17	0.01	0	0.01	0.03	0.00333	0.08	0.01	0.00333	0.0433	0	0	0	0	0.847	0.00667	0	0.203	0	0.00333	0	0	0.00333	0.0933	0.0333	0	0.1	0.6
[Eubacterium]_nodatum_group	0	0.0933	0.103	0	0.0367	0.1	0.0133	0.05	0	0.4	0.153	0.01	0	0	0	0	0	0	0.113	0.0333	0.00667	0.02	0.03	0	0.0567	0.08	0.13	0.00667	0.0167	0.03	0	0.00667	0.0467	0.00667	0.0733	0.00333	0.00333	0.0167	0.24	0.05	0.0233	0.0167	0.113	0.0133	0.00667	0.0167	0	0	0	0	0	0.01	0.03	0.03	0.0167	0.6
Brevundimonas	0.0167	0	0.0367	0.263	0	0.0233	0	0	0.0167	0.0667	0.02	0	0.0867	0.00333	0.00333	0	0	0.00667	0.0533	0.0767	0.187	0.01	0	0	0	0.6	0	0	0.00667	0.00333	0	0	0	0.03	0.00333	0	0	0	0.263	0	0.00333	0.00333	0.00667	0	0	0	0.00667	0.00667	0.00333	0.00667	0.00333	0.00667	1.72	0.00333	0	0.6
Fretibacterium	0	0.00667	0.0367	0	0.04	0.29	0.0133	0.00667	0	0.11	0.0467	0.00333	0	0	0	0	0	0	0.123	0.0567	0.01	0	0.21	0	0	0	0	0	0.103	0.07	0	0	0.0633	0.00667	0.21	0.0467	0	0	0.0167	0	0	0	0.103	0.0533	0.00667	0.0133	0	0	0	0	0	0	0.0633	0.00333	0	0.5
Novosphingobium	0	0.00333	0	0	0	0	0	0	0	0	0	0	0.00333	0	0	0	0	0	0.0133	0.03	0.0633	0	0	0	0	0.02	0	0	0	0.00333	0	0	0	0	0	0	0	0	0.0433	0	0	0	0	0	0	0	0.00333	0	0	0	0	0	0.07	0	0	0.5
Anaerococcus	0	0	0.0933	0	0	0	0	0	0	0.313	2.86	0.213	0.0433	0	0	0.00333	0	0	0	0	0	0.00333	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.01	0.0167	0.00333	0	0	0	0	0	0.00333	0	0	0	0	0.00333	0	0	0.5
Comamonas	0.00333	0.12	0.01	0.00667	0.00333	0.0567	0	0	0	0.0667	0	0.00333	0	0	0	0	0	0.00667	0.0433	0	0.02	0.00667	0.0633	0	0.01	0.153	0	0	0.0233	0.00333	0	0	0.02	0.00333	0.0167	0.00333	0	0	0.0533	0	0	0	0.24	0.00333	0	0	0.00667	0.00333	0	0.00333	0	0	0.02	0.00333	0	0.5
Atopobium	0.00333	0.00667	0.0633	0	0.01	0.01	0.0267	0.513	0	0.38	0.133	0.00333	0.0367	0	0	0.00333	0.00333	0	0.0433	0.00333	0.01	0.0133	0.00333	0.00333	0.02	0.05	0.0367	0.0267	0.0133	0.00667	0	0	0.0633	0.0167	0.0467	0.00667	0.00667	0.21	0.123	0.16	0.237	0.13	0.0367	0.01	0	0.0167	0	0	0	0	0	0	0.01	0.0433	0.333	0.5
Aquabacterium	0	0	0.01	0.00667	0	0.0133	0	0	0	0	0.00333	0.00333	0.06	0.00333	0	0	0.00333	0.00667	0.00667	0.00667	0.00667	0.00333	0.00333	0	0	0.00667	0	0	0	0	0	0	0	0.00333	0.00667	0.00333	0	0	0.00333	0	0	0	0	0	0	0	0.00667	0.00333	0	0	0.00333	0	1.15	0	0	0.5
Corynebacterium_1	0	0	1.99	0	0	0	0	0	0.0867	2.19	12.7	12.9	14	0.0233	0.0333	0.1	0	0	0.153	0.607	13.6	0	0	0	0	0.0133	0	0	0	0.00333	0	0	0.00333	0.00333	0.00667	0	0	0.01	0.00333	0	0	0	0.00333	0	0	0	0	0	0	0	0	0	0	0.00333	0.00333	0.4
Mycoplasma	0	0	0.0467	0	0.163	0.12	0.137	0.557	0	0.107	0.0467	0.01	0.0133	0	0	0	0.00333	0	0.157	0.00667	0.0167	0	0.297	0.00667	0.04	0.0267	0.00333	0.0133	0.0267	0.117	0	0.00333	0.06	0	0.14	0.0867	0.0867	0.347	0.0267	0.01	0.01	0.0133	0.103	0.09	0	0.0833	0	0.00333	0	0	0	0.00333	0.323	0.16	0.733	0.4
Arcobacter	0.00667	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00333	0	0	0	0.01	0	0.0867	0	0	0.4
Arthrobacter	2.09	0	0	0	0	0	0	0	2.06	0	0	0	0.00333	2	0.887	0	1.95	2.18	0	0	0	1.7	0	0	0	0	0	0	0	0	0	0	0	1.66	0	0	0	0	0.00333	0	0.00333	0.647	0	0	0	0	2.38	1.68	2.06	2.29	2.5	0	0.103	0	0	0.4
Dialister	0.00333	0.0233	0.17	0	0.08	0.133	0	0.0767	0	0.13	0.31	0.00667	0	0	0	0.00333	0.00333	0	0.36	0.07	0.03	0.0433	0.0133	0	0	0.0633	0.05	0.03	0.14	0.113	0.00667	0.01	0.103	0.0633	0.21	0.00333	0	0.00667	0.527	0.07	0.457	0.0767	0.243	0.13	0.09	0.763	0	0.0167	0	0	0	0.21	0.0133	0	0.0567	0.4
Morganella	0	0	0	0	0	0	0.00333	0.00667	0	0.313	0.187	0.8	15	0	0	0	0	0.00333	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00333	0	0	0	0	0	0	0	0	0	0	0	0	0.00333	0	0	0	0	0	0	0	0.05	0.107	0.4
Selenomonas	0	0.0467	0.187	0	0.0433	0.06	0.00333	0.0433	0.00333	0.673	0.223	0.0333	0.0133	0	0	0	0	0	0.19	0.04	0.03	0.01	0.06	0	0.00667	0.0167	0	0	0.107	0.03	0	0	0.0967	0.02	0.333	0.0167	0	0.00667	0.0367	0	0	0.00333	0.16	0.03	0	0.00667	0	0	0	0	0	0	0.04	0.00333	0.01	0.4
Bosea	0.00333	0.0133	0	0	0	0	0	0	0	0.00333	0.00333	0.00333	0.0233	0.00333	0	0	0	0	0.15	0.08	0.0767	0	0	0	0	0.03	0	0	0.01	0	0	0	0	0.00333	0	0	0	0	0.0133	0	0	0	0.0133	0	0	0	0	0	0.00333	0.00333	0	0.00667	0.223	0	0.00333	0.4
Pelomonas	0.0167	0.0233	0.01	0.0833	0.00333	0.01	0	0	0.04	0.02	0.0167	0.00667	0.00667	0.03	0.00333	0.0367	0.00667	0.0167	0.35	0.487	0.7	0.0333	0.01	0.00333	0	2.52	0	0	0.00667	0.00667	0	0	0.00667	0.0433	0.00333	0	0	0	1.21	0	0	0	0.04	0	0	0	0.0267	0	0.00667	0.02	0.00333	0.00333	0.13	0	0	0.3
Serratia	0.00667	0.00333	0.02	0.0767	0.06	0.00333	0.1	0.113	0.00333	0.397	0.0233	0.02	20.3	0.00667	0.00333	0	0.0133	0.0133	0.0833	0.00667	0.04	0.00333	0.03	0.523	0.0167	0.0433	0.133	0.237	0	0.03	0.05	0.01	0	0.0167	0.00333	0.00667	0.0167	0.02	0.00333	0	0.0233	0.03	0	0.0167	0.00667	0.00333	0.01	0	0.01	0.0167	0.0167	0.197	0.08	0.0233	0.177	0.3
Lachnoanaerobaculum	0.00667	0.42	0.137	0.00333	0	0	0.0333	0.433	0	0.287	0.243	0.00333	0.0233	0	0	0.00333	0.00333	0.00333	0.19	0.06	0.0633	0.00667	0	0	0.02	0.117	0.37	0.07	0.29	0.0133	0.587	1.8	0.113	0	0.0767	0.00333	0.00333	0.0567	3.23	2.05	1.45	0.0267	0.74	0.0167	2.01	3.89	0	0.00333	0	0	0	0.82	0	0.0433	0.113	0.3
Acholeplasma	0	0	0.0133	0	0.0167	0.0133	0.00667	0	0	0	0	0	0	0	0	0	0	0	0.0233	0.00333	0	0	0.00333	0	0	0	0	0	0.0267	0.00333	0	0	0.00333	0	0.0133	0.00667	0	0	0	0	0	0	0.02	0.0133	0	0.00667	0	0	0	0	0	0.00333	0.0133	0	0.00333	0.3
Facklamia	0.00333	0	0	0	0	0	0	0	0	0	0	0	0.00333	0.00667	0.00667	0	0	0.00333	0	0	0	0.01	0	0	0	0	0	0	0	0	0	0	0	0.00333	0	0	0	0	0	0	0	0	0	0	0	0	0.00333	0.00667	0.00333	0.00667	0.01	0	0.01	0	0	0.3
