Family	AS1	AS2	AS3	G1	G2	G3	G4	G5	N1	N10	N11	N12	N13	N2	N3	N4	N5	N6	N7	N8	N9	OC1	OC10	OC11	OC12	OC2	OC3	OC4	OC5	OC6	OC7	OC8	OC9	OP1	OP10	OP11	OP12	OP13	OP2	OP3	OP4	OP5	OP6	OP7	OP8	OP9	SD1	SD2	SD3	SD4	SD5	SD6	SD7	SD8	SD9	All
Bacteroidaceae	0	0	0.143	0	0.0133	0.03	0.01	0	0.00667	0.33	0.02	0	0.00333	0.00333	0	0	0	0.0433	0.0267	0.0267	0.00333	0.00667	0.00333	0	0	0	0	0	0.00333	0	0	0	0.0767	0.00333	0.167	0	0	0	0.00667	0	0	0	0.02	0.01	0	0.00333	0.00333	0.00333	0.00333	0	0	0.00667	0.04	0	0	0.7
Synergistaceae	0	0.01	0.0367	0	0.0533	0.29	0.0133	0.00667	0	0.11	0.0467	0.00333	0	0	0	0	0.00667	0	0.15	0.06	0.01	0.0167	0.21	0	0	0.00333	0	0	0.103	0.0767	0	0	0.0633	0.03	0.21	0.0467	0	0	0.0233	0	0	0.00333	0.123	0.0533	0.00667	0.0133	0	0	0	0	0	0.00333	0.0633	0.00333	0	0.6
Planococcaceae	0.637	0	0	0.0167	0	0.00333	0	0	0.66	0	0	0	0	0.75	0.47	0	0.587	0.713	0.00667	0	0	0.603	0	0	0	0.00667	0	0	0	0	0	0	0	0.577	0	0	0	0	0	0	0	0.237	0	0	0	0	0.653	0.64	0.623	0.667	0.703	0	0.02	0	0	0.6
Methylobacteriaceae	0.00333	0.0733	0.0967	0.0233	0.03	0.0633	0.00667	0.00667	0.00333	0.103	0.12	0.0233	0.00667	0.01	0	0.01	0	0.0167	0.983	0.213	0.31	0.00667	0.00333	0	0	0.263	0	0	0.03	0.00667	0	0	0.0167	0.01	0.00667	0	0	0	0.04	0.00333	0	0	0.0933	0.00333	0	0.00333	0.01	0.01	0.00667	0.0167	0	0.13	0.0533	0.00667	0	0.6
Rikenellaceae	0	0.00333	0.0167	0	0.0267	0.0333	0.02	0.00333	0.00333	0.0533	0.0167	0.0133	0	0	0	0	0	0	0.103	0.05	0.05	0.0333	0.01	0	0.00333	0.0633	0.00667	0.0133	0.11	0.0433	0	0.00333	0.0167	0.0167	0.0733	0.00667	0	0.00333	0.18	0	0.0133	0.0167	0.237	0.0933	0	0.01	0.00667	0.00333	0	0	0	0	0.05	0.00667	0.00667	0.6
Rhodobacteraceae	0.00667	0.0533	0.0533	0	0.01	0.00333	0	0	0.00333	0.03	0.0867	0.00667	0	0.00333	0	0	0.0133	0.00667	0.247	0.04	0.06	0.00333	0.00333	0	0	0.0167	0	0	0	0	0	0	0	0.00333	0.01	0	0	0	0.00667	0	0.00333	0	0.00667	0	0	0	0.00333	0	0	0.00333	0.00333	0.0433	0.117	0	0.00333	0.6
Enterococcaceae	1.44	0.0133	0	0.03	0.0733	0	0.0333	0.00333	1.57	0	0	0.00333	0.14	1.59	0.98	0	1.44	1.42	0.02	0.00667	0.00333	1.4	0.12	0.00333	0	0.57	0	0	0	0.0333	0.03	0	0.00333	1.54	0	0.12	0.00333	0.00333	0.297	0	0	0.537	0.0133	0.0167	0.0233	0.0233	1.48	1.55	1.35	1.5	1.35	0.00667	3.54	0.00333	0	0.6
Corynebacteriaceae	0.00333	0	1.99	0.00333	0	0	0	0	0.09	2.19	12.7	12.9	14	0.0267	0.0333	0.1	0	0.00333	0.157	0.617	13.6	0.00667	0	0	0	0.0233	0	0	0	0.00333	0	0	0.00333	0.00333	0.00667	0	0	0.01	0.00667	0	0	0	0.00333	0	0	0	0	0	0	0	0	0	0	0.00333	0.00333	0.6
Mycoplasmataceae	0	0	0.0467	0	0.163	0.12	0.137	0.557	0	0.107	0.0467	0.01	0.0133	0	0	0	0.00333	0	0.157	0.00667	0.0167	0	0.297	0.00667	0.04	0.0267	0.00333	0.0133	0.0267	0.117	0	0.00333	0.06	0	0.14	0.0867	0.0867	0.347	0.0267	0.01	0.01	0.0133	0.103	0.09	0	0.0833	0	0.00333	0	0	0	0.00333	0.323	0.16	0.733	0.4
Bifidobacteriaceae	0	0	0	0	0.01	0	0.387	0.187	0.00667	0.03	0.0233	0.00333	0.02	0	0	0	0.00333	0.00667	0.00667	0.00333	0	0	0.0167	0.00333	0.0333	0	0	0	0.0267	0.0233	0	0	0.0133	0	0.00667	0	0.00333	0.00667	0	0	0	0	0.00333	0.0167	0	0	0	0.00333	0	0	0	0	0.00333	0.0967	0.137	0.4
Desulfovibrionaceae	0.00333	0	0	0	0.0167	0.0233	0.00667	0	0	0.0233	0.0233	0	0	0.00667	0	0	0	0	0.0867	0.02	0	0	0	0	0	0	0	0	0.0167	0.00667	0	0	0.00333	0	0.07	0	0	0	0	0	0	0	0.0167	0.00333	0.00333	0	0	0	0	0.00333	0	0.00667	0.00667	0	0	0.4
Chitinophagaceae	0.00333	0.0133	0	0.123	0	0.00333	0	0	0.0333	0.0267	0.0267	0.00667	0.00333	0.02	0.01	0.0767	0.0133	0.0167	0.293	0.507	1.51	0.0433	0.00333	0	0	2.34	0	0	0.0267	0.0167	0	0	0	0.0633	0	0	0	0	1.62	0	0	0	0.0533	0	0	0.00333	0	0	0.00333	0.00667	0	0.00667	0.197	0	0	0.4
Clostridiaceae_1	0.00667	0.0267	0	0	0.0167	0	0	0	0.00667	0	0	0	0	0.00333	0.00667	0	0.00333	0.00667	0.00667	0.0667	0.0767	0.00333	0	0	0	0	0	0	0.0267	0.0267	0.0533	0.0333	0	0.00333	0	0	0	0	0	0	0	0.00333	0.02	0	0.02	0	0.00333	0.00333	0	0.01	0.0267	0.0267	0.0333	0	0	0.4
Burkholderiaceae	0.02	0.0267	0.01	0	0.01	0.0133	0.00667	0	0.01	0.0667	0	0	0.00333	0.0267	0	0	0.01	0.0167	0.00667	0.01	0.01	0.03	0.237	0.00333	0.00333	0.0767	0	0	0	0	0	0	0.03	0.03	0.0567	0	0	0	0.06	0	0	0.00333	0.0233	0.00667	0	0	0.01	0.02	0.00667	0	0.00667	0	0.267	0.01	0.00333	0.4
Acholeplasmataceae	0	0	0.0133	0	0.0167	0.0133	0.00667	0	0	0	0	0	0	0	0	0	0	0	0.0233	0.00333	0	0	0.00333	0	0	0	0	0	0.0267	0.00333	0	0	0.00333	0	0.0133	0.00667	0	0	0	0	0	0	0.02	0.0133	0	0.00667	0	0	0	0	0	0.00333	0.0133	0	0.00333	0.3
Sphingobacteriaceae	0.01	0	0	0	0	0	0	0	0.00667	0	0	0	0.0133	0.00667	0	0	0.00333	0.01	0	0	0	0.00333	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00333	0	0	0	0	0.00667	0.00667	0.00333	0.00667	0.0167	0	0.167	0	0	0.3
Anaerolineaceae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0233	0	0	0	0.00667	0	0	0	0	0	0.00667	0.01	0	0	0	0.01	0	0	0	0	0.00667	0	0	0	0.02	0	0	0	0	0	0	0	0	0	0.00333	0	0	0.3
Hyphomicrobiaceae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00333	0.0233	0	0.00667	0	0	0	0	0	0	0.00333	0	0	0	0	0	0.00333	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00667	0.00667	0.00333	0	0	0.00667	0	0	0.3
