DATASET_HEATMAP
SEPARATOR TAB
BORDER_WIDTH	0.5
COLOR	#fb9a99
COLOR_MAX	#1f78b4
COLOR_MIN	#e5e5e5
COLOR_NAN	#FFFFFF
DATASET_LABEL	OTUID
FIELD_LABELS	AS1	AS2	AS3	G1	G2	G3	G4	G5	N1	N10	N11	N12	N13	N2	N3	N4	N5	N6	N7	N8	N9	OC1	OC10	OC11	OC12	OC2	OC3	OC4	OC5	OC6	OC7	OC8	OC9	OP1	OP10	OP11	OP12	OP13	OP2	OP3	OP4	OP5	OP6	OP7	OP8	OP9	SD1	SD2	SD3	SD4	SD5	SD6	SD7	SD8	SD9
LEGEND_COLORS	#e5e5e5	#1f78b4
LEGEND_LABELS	Min. (0)	Max. (20485)
LEGEND_SHAPES	1	1
LEGEND_TITLE	OTUID
MARGIN	5
STRIP_WIDTH	50
DATA
ASV_35	0	0	19	1	0	0	0	0	1	49	3	0	11	0	2	1	3	0	0	0	0	4	0	0	0	31	256	130	0	0	0	0	9	7	4	1	0	0	50	1566	2805	10	0	0	0	0	1	16	0	0	0	0	2	0	0
ASV_38	2	124	38	1	0	0	3	49	0	70	72	1	3	0	0	1	1	1	57	17	19	2	0	0	4	35	111	21	85	3	176	539	27	0	22	1	1	15	967	616	434	8	198	5	603	1166	0	1	0	0	0	246	0	8	14
ASV_934	342	0	0	3	0	0	0	0	385	0	0	0	0	380	161	0	365	342	0	0	1	301	0	0	0	0	0	0	0	0	0	0	0	280	0	0	0	0	0	0	0	157	0	0	0	0	347	275	356	351	445	0	7	0	0
ASV_37	5	237	657	22	15	202	392	244	1	277	527	21	33	0	0	1	1	0	182	37	67	6	15	30	168	37	73	21	2	6	113	326	456	7	231	20	206	227	24	62	49	41	87	7	152	628	0	11	1	0	0	535	4	901	1092
ASV_39	0	0	0	0	0	0	2	8	0	256	16	445	7041	0	0	0	0	0	0	3	4	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	1	1	0	0	0	0	0	0	2	1	0	0	0	1	0	2	3	7	4
ASV_43	0	1	0	0	2155	0	0	0	0	0	0	0	0	0	0	0	0	0	67	12	1	0	0	0	0	0	0	0	15	705	0	4	0	0	0	0	0	0	0	0	0	0	40	1456	19	151	0	0	0	0	0	1	0	0	0
ASV_40	278	0	0	5	0	0	0	0	282	0	0	0	34	307	89	0	237	314	0	0	0	236	0	0	0	0	0	0	0	0	0	0	0	221	0	0	0	0	0	0	0	73	0	0	0	0	266	281	278	331	315	0	1062	0	0
ASV_42	311	0	0	4	0	0	0	0	286	1	2	0	6	349	140	1	287	277	6	4	15	279	0	0	0	27	0	0	1	0	1	0	0	289	0	0	0	0	17	0	0	70	0	0	0	0	322	291	320	321	339	0	119	0	0
ASV_50	0	455	136	0	85	61	5	2	3	109	64	8	3	0	0	0	0	3	315	28	781	107	330	5	0	253	0	2	518	102	6	7	280	108	194	854	17	0	938	0	1	0	375	119	11	17	0	0	0	0	0	7	40	8	3
ASV_41	0	2581	10	0	6	1	0	2	0	9	2	0	0	0	0	0	0	10	1896	619	213	0	0	0	0	0	0	0	10	1	0	0	1	0	0	0	1	0	0	0	0	0	954	0	0	0	0	0	0	0	0	0	0	4	1
ASV_44	0	1156	22	0	50	5	12	257	0	44	56	3	7	0	0	0	0	0	833	112	68	3	31	5	21	55	17	0	305	37	3	10	71	2	47	3	8	543	69	7	3	0	1513	56	5	241	0	0	0	0	0	24	0	18	74
ASV_46	0	1	6	0	0	1	0	31	0	119	5	3	6025	0	0	0	0	0	25	1	12	0	5	0	0	12	0	0	0	0	0	0	0	0	1	1	0	5	0	0	1	0	0	0	1	0	0	0	1	3	1	2	10	0	8
ASV_49	0	195	162	0	200	0	0	0	0	357	82	7	2	0	0	0	0	3	424	83	72	13	0	0	0	6	0	0	185	319	1	30	7	15	20	4	0	0	3	0	0	1	302	325	16	1295	0	0	0	0	0	472	0	0	0
ASV_48	0	1	111	0	2	17	569	2248	0	27	11	2	12	0	0	0	0	0	2	0	0	2	58	43	191	97	22	2	2	7	1	9	5	2	14	13	172	2019	119	21	11	1	4	21	30	674	0	0	0	0	0	2	4	190	303
ASV_47	0	174	62	1	184	9	49	73	1	190	38	2	12	1	0	0	15	2	152	30	21	11	0	1	20	46	250	128	60	202	5	57	24	14	105	2	0	26	102	139	1141	133	106	143	15	227	1	3	1	0	0	192	3	20	191
ASV_879	246	0	0	0	0	0	0	0	235	0	0	0	6	248	149	0	254	289	1	0	0	210	0	0	0	0	0	0	0	0	0	0	0	220	0	0	0	0	0	0	0	94	1	0	1	0	214	217	224	325	362	0	43	0	0
ASV_53	1	0	27	3	2	31	36	55	0	6	9	0	6	0	1	5	2	1	0	2	5	8	883	93	81	239	68	48	1	8	1	0	5	6	13	149	67	60	2036	126	161	38	3	0	0	5	0	1	0	0	0	0	171	50	30
ASV_51	0	3	40	0	6	5	11	10	1	10	24	1	2	0	2	0	1	0	1	2	33	6	56	12	1	369	457	687	158	4	6	3	4	8	8	44	12	17	1222	224	112	25	23	10	2	5	0	0	0	0	0	0	8	13	5
ASV_54	0	36	125	0	0	7	0	0	4	1358	416	5	762	1	0	0	1	0	2	0	3	21	2	0	0	16	0	1	25	0	0	0	2514	13	2184	48	0	0	28	0	0	0	225	1	0	0	0	0	0	0	0	0	16	1	0
ASV_52	0	1614	0	0	79	0	0	0	0	0	0	0	0	0	0	0	0	3	1653	476	121	0	0	0	0	0	0	0	8	2	0	0	0	0	0	0	0	0	0	0	0	0	773	8	0	0	0	0	0	0	0	0	0	0	0
ASV_59	0	44	8	1	0	0	168	997	2	28	13	0	19	0	1	1	1	0	55	9	13	8	0	0	76	10	24	34	2	2	0	0	3	1	19	3	10	334	14	127	1422	66	44	2	0	35	0	5	0	0	0	3	1	174	576
ASV_57	0	76	429	2	100	381	9	6	1	1458	346	9	0	0	0	0	2	0	228	37	39	10	51	0	0	9	0	4	39	87	1	2	387	38	1229	23	0	0	11	0	12	54	311	144	1	54	0	0	0	0	0	6	72	4	2
ASV_58	9	320	185	179	0	7	29	0	7	295	183	12	69	12	7	0	12	14	469	74	35	8	0	0	0	0	0	0	65	1	1	0	270	16	220	9	0	0	0	0	0	3	1643	0	0	0	2	13	15	8	7	0	73	0	0
ASV_61	0	0	0	0	0	0	1	2	0	94	55	235	4029	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	15	32
ASV_744	1	36	5	0	1	4	184	174	0	2	2	0	19	0	0	0	1	0	6	4	1	0	0	463	267	3	106	324	4	2	172	337	4	0	4	0	334	444	26	39	77	238	16	7	80	74	0	0	1	0	0	25	0	250	327
ASV_63	1	62	148	0	0	0	516	163	0	6	3	0	22	0	0	0	0	0	21	3	42	1	35	1477	119	3	1	5	19	0	0	0	1	0	1	9	1186	386	17	0	1	0	31	1	0	0	0	0	0	0	0	0	3	825	296
