	AS1	AS2	AS3	SD1	SD2	SD3	SD4	SD5	SD6	SD8	SD9
576007	0.2	0	0	1.1	0.9	0.5	1.3	1.1	0	0	0
578786	0	0	0	0.3	0.2	0	0	0.2	0	0	0
579049	1.125	0	0	2.375	1.625	1.625	1.625	1.375	0	0	0
581042	0.6	0	0	1	0.8	0.6	0.4	1	0	0	0
582083	0	7	3.66666666666667	0	0	0	0	0	4.33333333333333	0	0
584109	0	4.25	0.5	0	0	0	0	0	0.75	2.25	0.5
584241	0	0	0	0	0	0.333333333333333	0.333333333333333	0.333333333333333	0	0	0
584571	0	0	0	0	0.6	0.4	0	0.6	0	0	0
585435	13.25	0	0	14.5	10.5	11.5	19	17.25	0	0	0
586458	0	337	337.25	0	0.75	0	0	0	1002.25	415.25	102.75
587574	16.5	0	0	25.3	18.1	23.7	33.4	28.6	0	0	0
588605	0.6	0	0	0.4	0	0.6	0	0	0	0	0
588755	0.666666666666667	0	0	1.16666666666667	0.333333333333333	0.666666666666667	1.66666666666667	1.83333333333333	0	0	0
590982	2.16666666666667	0	0	2.5	1.16666666666667	3.5	2.83333333333333	0.666666666666667	0	0	0
591482	2	0	0	2.8	2.3	3.3	1.7	1.7	0	0	0
591642	4.8	0	0	7.3	4.8	6.7	4.4	4.3	0	0	0
591907	25	0	0	35.8	25.8	36.1	37.7	32.2	0	0	0
592849	0	0	0	0	0.2	0.2	0.4	0	0	0	0
593219	1.5	0	0	2.8	2.3	2.4	2.3	2.2	0	0	0
605266	2.8	0	0	2	1.2	1.6	5.6	5.6	0	0	0
606419	0.7	0	0	1.6	0.7	1.1	1.5	0.4	0	0	0
608710	0	0	0	0	0.6	0.4	0.4	0	0	0	0
610418	0.5	0	0	1	0	0.5	0.5	0.5	0	0	0
611110	0	15.25	56.75	0	0	0	0	0	13	1.75	4.25
614182	0	0	0	2.33333333333333	0	0.5	0	0.5	0	0	0
615020	0	1.5	9	0	2	1	0	0	2.5	6	1
622288	2.625	0	0	5.375	3.375	5.25	4.75	3.625	0	0	0
63015	0	3	2.66666666666667	0	0	0	0	0	1	1	0
636827	0.2	0	0	0	0	0	0.3	0.3	0	0	0
637421	0	0	0	0.2	0.2	0.2	0	0.3	0	0	0
643177	0.4	0	0	0.2	0	0.2	0.3	0.4	0	0	0
644728	1.5	0	0	2.25	0.5	1.5	0	0.75	0	0	0
644991	0.3	0	0	0.3	0	0	0	0.4	0	0	0
646549	2.5	0	0	3.66666666666667	2.33333333333333	3.66666666666667	4.16666666666667	2.16666666666667	0	0	0
648854	0	0	0	0.2	0.2	0.3	0	0	0	0	0
656443	1.7	0	0	2.6	2.4	1.6	4.4	3.9	0	0	0
662974	1.66666666666667	0	0	0.666666666666667	0	0	0	0.666666666666667	0	0	0
668514	0	0	0	1.5	0	0	0	0	135.5	1	2
672839	0.2	0	0	0.5	0.2	0	0	0	0	0	0
674056	2.33333333333333	0	0	0.666666666666667	1.33333333333333	1.66666666666667	0	0	0	0	0
680750	1.75	0	0	4.25	2	2.75	5	2.5	0	0	0
681779	0.285714285714286	0.857142857142857	0	1	0.428571428571429	0.857142857142857	0.285714285714286	0.428571428571429	54.4285714285714	0.285714285714286	1.14285714285714
697578	4.44444444444444	0	0	7.55555555555556	3.77777777777778	3.88888888888889	5.88888888888889	5.88888888888889	0	0	0
699027	5.5	0	0	8.83333333333333	2.83333333333333	6	7	4.16666666666667	0	0	0
701818	0.7	0	0	1.3	0.9	1.4	0.7	0.4	0	0	0
70512	10.3333333333333	170.5	44.5	0	0	0	0	0	0	330	22.1666666666667
70580	0	1.83333333333333	0	0	0	0	0	0	0	2.33333333333333	0.333333333333333
71146	0	8.66666666666667	15	0	0	0	0	0	3.66666666666667	0	0
711843	0.5	0	0	0.333333333333333	0	0.833333333333333	0.833333333333333	0.333333333333333	0	0	0
716006	1	0	0	0.8	0	0	0.6	0	0	0	0
71957	0	1.5	1.25	0	0	0	0	0	0	5.5	1.75
724271	0.7	0	0	1.2	1.3	0.5	0.9	0.7	0	0	0
73609	0.4	0	0	2	3.4	1.4	1.2	0.8	0	0	0
744371	54	0	0	81.3333333333333	60.5	66.5	69	54.6666666666667	0	0	0
746436	0	0.666666666666667	2	0	0	0	0	0	0.666666666666667	0	2.33333333333333
749837	0	47.25	8.25	0	3.5	0	0	0	127.75	13.5	10.5
751207	0	2.66666666666667	1	0	0.666666666666667	0.666666666666667	0	0	2	0	0
759349	0	0	0	1.83333333333333	0.333333333333333	0.333333333333333	0.333333333333333	0.333333333333333	0	0	0
759378	4.77777777777778	0	0	4.22222222222222	2.88888888888889	4.88888888888889	3.55555555555556	2.33333333333333	0	0	0
764682	0.5	0	0	1.16666666666667	0.5	0.333333333333333	0	0	0	0	0
767863	42.3333333333333	0	0	64	41.8333333333333	50.6666666666667	40.3333333333333	37.8333333333333	0	0	0
772515	0.333333333333333	0	0	0	0.333333333333333	0	0.5	0.333333333333333	0	0	0
776980	0	0	0	5.16666666666667	0	2.33333333333333	0	1.33333333333333	17.8333333333333	0.333333333333333	1.16666666666667
777667	0.75	0	0	2.5	2.25	1.75	2	1.25	0	0	0
780555	9.25	0	0	19	9.25	17.75	12.75	12.5	0	0	0
7821	1	0	0	1	0.666666666666667	0	0	0.666666666666667	0	0	0
787663	0	0.625	1	0	0.25	0	0	0	0	0	0
799884	0	7.5	4.5	0	0	0	0	0	55.75	3.25	2.25
801579	0	0	0	0	0.3	0.2	0.5	0	0	0	0
806347	0.3	0	0	0.3	0.3	0	0	0	0	0	0
80664	19	0	0	28.5	16	24	25.25	18.5	0	0	0
810399	1.5	0	0	3.16666666666667	1.16666666666667	1.66666666666667	0.833333333333333	0.333333333333333	0	0	0
811179	0.3	0	0	0.3	0	0	0.2	0.4	0	0	0
811257	11	0	0	5.5	7	13.5	7	7.5	0	0	0
812851	3	0	0	3.83333333333333	2	1.66666666666667	3.16666666666667	3.33333333333333	0	0	0
812902	0	0	0	0	0.4	0.6	0.4	0	0	0	0
813217	0	0	0	40	0	7	0	9	162	0	6
816470	8.6	0	0	13.6	6.7	12	13.3	13.2	0	0	0
816529	16.5	0	0	28.75	14	18.25	30.75	26.25	0	0	0
